video,frames,frames_with_faces,detections,changed
assets/videos/gallery/analemma-2-t__table__insight9.mp4,240,124,124,True
assets/videos/gallery/analemma-2-t__table__insta360-x5.mp4,240,168,204,True
assets/videos/gallery/analemma-2-t__tablecloth__insight9.mp4,240,208,348,True
assets/videos/gallery/analemma-2-t__tablecloth__insta360-x5.mp4,241,233,361,True
assets/videos/gallery/analemma-2-t__apriltag-2__insta360-x5.mp4,240,176,332,True
assets/videos/gallery/analemma-2-t__apriltag-4__insta360-x5.mp4,240,212,316,True
assets/videos/gallery/analemma-2-t__aruco-2__insta360-x5.mp4,240,216,356,True
assets/videos/gallery/analemma-2-t__aruco-4__insight9.mp4,240,192,272,True
assets/videos/gallery/analemma-2-t__aruco-4__insta360-x5.mp4,240,204,324,True
assets/videos/gallery/circular-2-t__table__insight9.mp4,240,152,228,True
assets/videos/gallery/circular-2-t__table__insta360-x5.mp4,241,217,329,True
assets/videos/gallery/circular-2-t__tablecloth__insight9.mp4,240,216,348,True
assets/videos/gallery/circular-2-t__tablecloth__insta360-x5.mp4,240,224,392,True
assets/videos/gallery/circular-2-t__apriltag-2__insta360-x5.mp4,241,225,346,True
assets/videos/gallery/circular-2-t__apriltag-4__insta360-x5.mp4,241,213,337,True
assets/videos/gallery/circular-2-t__aruco-2__insta360-x5.mp4,241,201,297,True
assets/videos/gallery/circular-2-t__aruco-4__insight9.mp4,240,176,264,True
assets/videos/gallery/circular-2-t__aruco-4__insta360-x5.mp4,240,196,260,True
assets/videos/gallery/zigzag-2-t__table__insight9.mp4,240,136,172,True
assets/videos/gallery/zigzag-2-t__table__insta360-x5.mp4,240,204,316,True
assets/videos/gallery/zigzag-2-t__tablecloth__insight9.mp4,240,116,124,True
assets/videos/gallery/zigzag-2-t__tablecloth__insta360-x5.mp4,240,224,376,True
assets/videos/gallery/zigzag-2-t__apriltag-2__insight9.mp4,240,124,148,True
assets/videos/gallery/zigzag-2-t__apriltag-2__insta360-x5.mp4,241,209,297,True
assets/videos/gallery/zigzag-2-t__apriltag-4__insta360-x5.mp4,240,144,172,True
assets/videos/gallery/zigzag-2-t__aruco-2__insight9.mp4,240,140,152,True
assets/videos/gallery/zigzag-2-t__aruco-2__insta360-x5.mp4,240,224,384,True
assets/videos/gallery/zigzag-2-t__aruco-4__insight9.mp4,240,160,204,True
assets/videos/gallery/zigzag-2-t__aruco-4__insta360-x5.mp4,241,193,253,True
assets/videos/gallery/bookshelf01-2__table__insight9.mp4,240,24,40,True
assets/videos/gallery/bookshelf01-2__table__insta360-x5.mp4,241,241,394,True
assets/videos/gallery/bookshelf01-2__apriltag-2__insta360-x5.mp4,240,220,336,True
assets/videos/gallery/bookshelf01-2__apriltag-4__insta360-x5.mp4,241,124,140,True
assets/videos/gallery/bookshelf01-2__aruco-2__insta360-x5.mp4,240,224,396,True
assets/videos/gallery/bookshelf01-2__aruco-4__insight9.mp4,240,224,244,True
assets/videos/gallery/bookshelf01-2__aruco-4__insta360-x5.mp4,240,140,168,True
assets/videos/gallery/bookshelf02-2__table__insight9.mp4,241,236,548,True
assets/videos/gallery/bookshelf02-2__table__insta360-x5.mp4,240,144,256,True
assets/videos/gallery/bookshelf02-2__tablecloth__insta360-x5.mp4,240,180,224,True
assets/videos/gallery/bookshelf02-2__apriltag-2__insta360-x5.mp4,241,164,236,True
assets/videos/gallery/bookshelf02-2__apriltag-4__insta360-x5.mp4,241,197,221,True
assets/videos/gallery/bookshelf02-2__aruco-2__insta360-x5.mp4,240,188,240,True
assets/videos/gallery/bookshelf02-2__aruco-4__insight9.mp4,240,208,388,True
assets/videos/gallery/bookshelf02-2__aruco-4__insta360-x5.mp4,240,160,192,True
assets/videos/gallery/box01__table__insta360-x5.mp4,241,217,446,True
assets/videos/gallery/box01__apriltag-4__insta360-x5.mp4,241,213,298,True
assets/videos/gallery/box01__aruco-4__insight9.mp4,240,204,244,True
assets/videos/gallery/box01__aruco-4__insta360-x5.mp4,240,196,316,True
assets/videos/gallery/box02__table__insta360-x5.mp4,240,228,284,True
assets/videos/gallery/box02__apriltag-4__insta360-x5.mp4,240,176,196,True
